hash,author_date,files_changed,insertions,deletions,message_length,label,total_complexity,max_complexity,total_nloc,max_duplication_similarity,security_issues_low,security_issues_medium,security_issues_high
e2ad0d0fe8f4bff1640417f67e7e321f030c1bed,2013-02-08 03:42:58+00:00,1,7,4,140,0,63,63,221,0.9999996423721313,0,0,0
e7bc9bf1b2c8abb51b56981548632baed3b4fb87,2013-02-08 03:53:37+00:00,1,9,3,65,0,63,63,227,1.0,0,0,0
90cd37fda0dce5ecc6d09a406aa4e28382daaf19,2013-02-10 22:06:38+00:00,0,9,0,101,0,0,0,0,0.0,0,0,0
f2be5fae27ed0283bd45f897b480997ccaced390,2013-02-10 22:07:08+00:00,0,2,0,100,0,0,0,0,0.0,0,0,0
9c8660dbb6e5d9b8694447e91e7936161f868ab0,2013-02-10 22:14:45+00:00,1,10,9,115,1,64,64,228,1.0,0,0,0
12d66cfc41505e595db787c1c26fd6cddf26e7e5,2013-02-10 22:21:13+00:00,0,29,18,103,0,0,0,0,0.0,0,0,0
9cdc8325ae8ace6fe3b09eb78751d6912410e9cc,2013-02-10 22:43:37+00:00,1,3,0,32,0,65,65,230,1.0,0,0,0
1da1490bcd120e61f4f7f96062ec570d3b0a905e,2013-02-10 22:43:58+00:00,1,13,3,21,0,19,19,71,1.000000238418579,0,0,0
0fb13e0b6c092e1acf96e24cf01a621ea4ef5eac,2013-02-10 22:49:49+00:00,1,5,0,9,0,39,39,257,0.9977089166641235,2,36,0
2e3169615636ceffc7aa85469464470c11d3a85e,2013-02-11 00:36:36+00:00,3,16,4,229,1,190,87,699,0.9999998807907104,2,36,0
5d9fcc711b19adac143b1c8172ef11ef88d48e65,2013-02-11 00:43:21+00:00,0,21,1,84,0,0,0,0,0.0,0,0,0
6da7e22a4ab07f4b5a573d37a6149a2d5cfdb7af,2013-02-11 12:37:58+00:00,3,8,1,80,0,185,144,643,0.9988510608673096,2,37,0
